ref_area.label,source.label,indicator.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (10-year bands): Total,2024,57.981,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (10-year bands): 15-24,2024,31.34,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (10-year bands): 25-34,2024,74.988,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (10-year bands): 35-44,2024,82.941,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (10-year bands): 45-54,2024,80.713,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (10-year bands): 55-64,2024,63.705,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (10-year bands): 65+,2024,16.274,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (10-year bands): Total,2024,67.24,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (10-year bands): 15-24,2024,35.037,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (10-year bands): 25-34,2024,85.36,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (10-year bands): 35-44,2024,90.984,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (10-year bands): 45-54,2024,89.169,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (10-year bands): 55-64,2024,78.444,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (10-year bands): 65+,2024,24.109,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (10-year bands): Total,2024,49.467,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (10-year bands): 15-24,2024,27.421,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (10-year bands): 25-34,2024,65.146,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (10-year bands): 35-44,2024,75.305,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (10-year bands): 45-54,2024,72.784,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (10-year bands): 55-64,2024,49.387,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (10-year bands): 65+,2024,11.01,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (5-year bands): Total,2024,57.981,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (5-year bands): 15-19,2024,11.74,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (5-year bands): 20-24,2024,51.429,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (5-year bands): 25-29,2024,71.286,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (5-year bands): 30-34,2024,78.652,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (5-year bands): 35-39,2024,82.951,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (5-year bands): 40-44,2024,82.931,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (5-year bands): 45-49,2024,81.995,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (5-year bands): 50-54,2024,79.213,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (5-year bands): 55-59,2024,71.908,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (5-year bands): 60-64,2024,55.145,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (5-year bands): 65+,2024,16.274,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (5-year bands): Total,2024,67.24,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (5-year bands): 15-19,2024,13.361,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (5-year bands): 20-24,2024,57.556,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (5-year bands): 25-29,2024,80.844,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (5-year bands): 30-34,2024,89.904,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (5-year bands): 35-39,2024,90.581,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (5-year bands): 40-44,2024,91.376,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (5-year bands): 45-49,2024,90.503,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (5-year bands): 50-54,2024,87.544,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (5-year bands): 55-59,2024,83.068,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (5-year bands): 60-64,2024,73.478,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (5-year bands): 65+,2024,24.109,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (5-year bands): Total,2024,49.467,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (5-year bands): 15-19,2024,9.998,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (5-year bands): 20-24,2024,45.024,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (5-year bands): 25-29,2024,62.07,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (5-year bands): 30-34,2024,68.144,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (5-year bands): 35-39,2024,75.784,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (5-year bands): 40-44,2024,74.829,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (5-year bands): 45-49,2024,73.727,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (5-year bands): 50-54,2024,71.72,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (5-year bands): 55-59,2024,60.76,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (5-year bands): 60-64,2024,37.851,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (5-year bands): 65+,2024,11.01,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,"Age (Youth, adults): 15+",2023,58.462,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,"Age (Youth, adults): 15-64",2023,66.498,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,"Age (Youth, adults): 15-24",2023,32.126,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,"Age (Youth, adults): 25+",2023,65.027,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,"Age (Youth, adults): 15+",2023,68.158,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,"Age (Youth, adults): 15-64",2023,75.006,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,"Age (Youth, adults): 15-24",2023,36.341,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,"Age (Youth, adults): 25+",2023,76.777,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,"Age (Youth, adults): 15+",2023,49.56,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,"Age (Youth, adults): 15-64",2023,58.219,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,"Age (Youth, adults): 15-24",2023,27.716,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,"Age (Youth, adults): 25+",2023,54.585,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (Aggregate bands): Total,2023,58.462,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (Aggregate bands): 15-24,2023,32.126,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (Aggregate bands): 25-54,2023,80.13,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (Aggregate bands): 55-64,2023,63.772,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (Aggregate bands): 65+,2023,15.636,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (Aggregate bands): Total,2023,68.158,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (Aggregate bands): 15-24,2023,36.341,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (Aggregate bands): 25-54,2023,89.43,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (Aggregate bands): 55-64,2023,79.192,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (Aggregate bands): 65+,2023,23.311,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (Aggregate bands): Total,2023,49.56,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (Aggregate bands): 15-24,2023,27.716,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (Aggregate bands): 25-54,2023,71.24,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (Aggregate bands): 55-64,2023,49.417,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (Aggregate bands): 65+,2023,10.491,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (10-year bands): Total,2023,58.462,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (10-year bands): 15-24,2023,32.126,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (10-year bands): 25-34,2023,76.641,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (10-year bands): 35-44,2023,82.718,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (10-year bands): 45-54,2023,81.25,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (10-year bands): 55-64,2023,63.772,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (10-year bands): 65+,2023,15.636,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (10-year bands): Total,2023,68.158,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (10-year bands): 15-24,2023,36.341,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (10-year bands): 25-34,2023,86.937,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (10-year bands): 35-44,2023,91.918,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (10-year bands): 45-54,2023,89.558,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
